,nivel satisfacción,última evaluación,número proyectos,horas mensuales promedio,años en la empresa,accidente laboral,se fue,promoción últimos 5 años,departamento,salario,región
0,0.38,0.53,2,157,3,0,1,0,sales,low,Colombia
1,0.8,0.86,5,262,6,0,1,0,sales,medium,Colombia
2,0.11,0.88,7,272,4,0,1,0,sales,medium,Reino Unido
3,0.72,0.87,5,223,5,0,1,0,sales,low,Colombia
4,0.37,0.52,2,159,3,0,1,0,sales,low,India
5,0.41,0.5,2,153,3,0,1,0,sales,low,Colombia
6,0.1,0.77,6,247,4,0,1,0,sales,low,India
7,0.92,0.85,5,259,5,0,1,0,sales,low,Colombia
8,0.89,1.0,5,224,5,0,1,0,sales,low,Reino Unido
9,0.42,0.53,2,142,3,0,1,0,sales,low,Reino Unido
10,0.45,0.54,2,135,3,0,1,0,sales,low,Reino Unido
11,0.11,0.81,6,305,4,0,1,0,sales,low,Colombia
12,0.84,0.92,4,234,5,0,1,0,sales,low,India
13,0.41,0.55,2,148,3,0,1,0,sales,low,Colombia
14,0.36,0.56,2,137,3,0,1,0,sales,low,Colombia
15,0.38,0.54,2,143,3,0,1,0,sales,low,India
16,0.45,0.47,2,160,3,0,1,0,sales,low,Colombia
17,0.78,0.99,4,255,6,0,1,0,sales,low,Colombia
18,0.45,0.51,2,160,3,1,1,1,sales,low,Colombia
19,0.76,0.89,5,262,5,0,1,0,sales,low,Reino Unido
20,0.11,0.83,6,282,4,0,1,0,sales,low,Reino Unido
21,0.38,0.55,2,147,3,0,1,0,sales,low,Colombia
22,0.09,0.95,6,304,4,0,1,0,sales,low,India
23,0.46,0.57,2,139,3,0,1,0,sales,low,India
24,0.4,0.53,2,158,3,0,1,0,sales,low,Reino Unido
25,0.89,0.92,5,242,5,0,1,0,sales,low,India
26,0.82,0.87,4,239,5,0,1,0,sales,low,India
27,0.4,0.49,2,135,3,0,1,0,sales,low,Reino Unido
28,0.41,0.46,2,128,3,0,1,0,accounting,low,Reino Unido
29,0.38,0.5,2,132,3,0,1,0,accounting,low,Reino Unido
30,0.09,0.62,6,294,4,0,1,0,accounting,low,Reino Unido
31,0.45,0.57,2,134,3,0,1,0,hr,low,Reino Unido
32,0.4,0.51,2,145,3,0,1,0,hr,low,Colombia
33,0.45,0.55,2,140,3,0,1,0,hr,low,India
34,0.84,0.87,4,246,6,0,1,0,hr,low,India
35,0.1,0.94,6,255,4,0,1,0,technical,low,Reino Unido
36,0.38,0.46,2,137,3,0,1,0,technical,low,Colombia
37,0.45,0.5,2,126,3,0,1,0,technical,low,Colombia
38,0.11,0.89,6,306,4,0,1,0,technical,low,Colombia
39,0.41,0.54,2,152,3,0,1,0,technical,low,Colombia
40,0.87,0.88,5,269,5,0,1,0,technical,low,Colombia
41,0.45,0.48,2,158,3,0,1,0,technical,low,India
42,0.4,0.46,2,127,3,0,1,0,technical,low,Reino Unido
43,0.1,0.8,7,281,4,0,1,0,technical,low,India
44,0.09,0.89,6,276,4,0,1,0,technical,low,India
45,0.84,0.74,3,182,4,0,1,0,technical,low,Colombia
46,0.4,0.55,2,147,3,0,1,0,support,low,Reino Unido
47,0.57,0.7,3,273,6,0,1,0,support,low,Colombia
48,0.4,0.54,2,148,3,0,1,0,support,low,India
49,0.43,0.47,2,147,3,0,1,0,support,low,India
50,0.13,0.78,6,152,2,0,1,0,support,low,India
51,0.44,0.55,2,135,3,0,1,0,support,low,Reino Unido
52,0.38,0.55,2,134,3,0,1,0,support,low,Colombia
53,0.39,0.54,2,132,3,0,1,0,support,low,Colombia
54,0.1,0.92,7,307,4,0,1,0,support,low,India
55,0.37,0.46,2,140,3,0,1,0,support,low,Reino Unido
56,0.11,0.94,7,255,4,0,1,0,support,low,Reino Unido
57,0.1,0.81,6,309,4,0,1,0,technical,low,Reino Unido
58,0.38,0.54,2,128,3,0,1,0,technical,low,Colombia
59,0.85,1.0,4,225,5,0,1,0,technical,low,India
60,0.85,0.91,5,226,5,0,1,0,management,medium,India
61,0.11,0.93,7,308,4,0,1,0,IT,medium,Colombia
62,0.1,0.95,6,244,5,0,1,0,IT,medium,Colombia
63,0.36,0.56,2,132,3,0,1,0,IT,medium,India
64,0.11,0.94,6,286,4,0,1,0,IT,medium,Colombia
65,0.81,0.7,6,161,4,0,1,0,IT,medium,Reino Unido
66,0.43,0.54,2,153,3,0,1,0,product_mng,medium,Reino Unido
67,0.9,0.98,4,264,6,0,1,0,product_mng,medium,Colombia
68,0.76,0.86,5,223,5,1,1,0,product_mng,medium,Reino Unido
69,0.43,0.5,2,135,3,0,1,0,product_mng,medium,Reino Unido
70,0.74,0.99,2,277,3,0,1,0,IT,medium,Reino Unido
71,0.09,0.77,5,275,4,0,1,0,product_mng,medium,Reino Unido
72,0.45,0.49,2,149,3,0,1,0,product_mng,high,Reino Unido
73,0.09,0.87,7,295,4,0,1,0,product_mng,low,India
74,0.11,0.97,6,277,4,0,1,0,product_mng,medium,Reino Unido
75,0.11,0.79,7,306,4,0,1,0,product_mng,medium,India
76,0.1,0.83,6,295,4,0,1,0,product_mng,medium,India
77,0.4,0.54,2,137,3,0,1,0,marketing,medium,Reino Unido
78,0.43,0.56,2,157,3,0,1,0,sales,low,Colombia
79,0.39,0.56,2,142,3,0,1,0,accounting,low,Reino Unido
80,0.45,0.54,2,140,3,0,1,0,support,low,Colombia
81,0.38,0.49,2,151,3,0,1,0,technical,low,Colombia
82,0.79,0.59,4,139,3,0,1,1,management,low,Colombia
83,0.84,0.85,4,249,6,0,1,0,marketing,low,Colombia
84,0.11,0.77,6,291,4,0,1,0,marketing,low,Reino Unido
85,0.11,0.87,6,305,4,0,1,0,marketing,low,Reino Unido
86,0.17,0.84,5,232,3,0,1,0,sales,low,India
87,0.44,0.45,2,132,3,0,1,0,sales,low,Reino Unido
88,0.37,0.57,2,130,3,0,1,0,sales,low,Colombia
89,0.1,0.79,6,291,4,0,1,0,sales,low,Colombia
90,0.4,0.5,2,130,3,0,1,0,sales,low,Reino Unido
91,0.89,1.0,5,246,5,0,1,0,sales,low,Reino Unido
92,0.42,0.48,2,143,3,0,1,0,sales,low,India
93,0.46,0.55,2,129,3,0,1,0,sales,low,India
94,0.09,0.83,6,255,4,0,1,0,sales,low,Colombia
95,0.37,0.51,2,155,3,0,1,0,sales,low,India
96,0.1,0.77,6,265,4,0,1,0,sales,low,India
97,0.1,0.84,6,279,4,0,1,0,sales,low,Colombia
98,0.11,0.97,6,284,4,0,1,0,sales,low,India
99,0.9,1.0,5,221,6,0,1,0,sales,medium,India
100,0.38,0.52,2,154,3,0,1,0,sales,medium,Reino Unido
101,0.36,0.52,2,147,3,0,1,0,sales,medium,Colombia
102,0.42,0.46,2,150,3,0,1,0,sales,medium,Colombia
103,0.09,0.94,7,267,4,0,1,0,sales,medium,Colombia
104,0.43,0.52,2,158,3,0,1,0,sales,medium,Reino Unido
105,0.24,0.46,7,224,5,0,1,0,accounting,medium,India
106,0.91,1.0,4,257,5,0,1,0,accounting,medium,India
107,0.44,0.5,2,148,3,0,1,0,accounting,medium,Reino Unido
108,0.71,0.87,3,177,4,0,1,0,hr,medium,Reino Unido
109,0.4,0.49,2,155,3,0,1,0,hr,medium,Reino Unido
110,0.43,0.47,2,144,3,0,1,0,hr,medium,India
111,0.09,0.85,6,289,4,0,1,0,hr,high,Colombia
112,0.43,0.52,2,160,3,0,1,0,technical,low,Reino Unido
113,0.9,0.96,4,258,5,0,1,0,technical,medium,Reino Unido
114,0.84,1.0,5,234,5,0,1,0,technical,medium,Colombia
115,0.37,0.48,2,137,3,0,1,0,technical,medium,Reino Unido
116,0.86,0.68,5,263,2,0,1,0,technical,medium,India
117,0.11,0.84,6,251,4,0,1,0,technical,low,Colombia
118,0.37,0.57,2,133,3,0,1,0,technical,low,Colombia
119,0.4,0.46,2,132,3,0,1,0,technical,low,India
120,0.14,0.62,4,158,4,1,1,0,technical,low,India
